sample,domain,outcome,predictor,n_complete,n_yes,n_no,OR,CI_low,CI_high,p_value,status,model_role,OR_text,CI_95,p_text,interpretation
Main sample: grades 10-12,Pregnancy and reproductive experience,Ever been pregnant,"School adjustment/problem index, standardized",896,163,733,1.0267885529533205,0.8351015784761462,1.2624748409646178,0.8020646843612238,fitted,primary,1.03,[0.84; 1.26],0.802,No statistically significant association at the 5 percent level.
Main sample: grades 10-12,Pregnancy and reproductive experience,Ever been pregnant,"School connectedness/climate extended index, standardized",896,163,733,0.8133988973908091,0.6873446663061222,0.9625705977063909,0.01641832893666222,fitted,sensitivity,0.81,[0.69; 0.96],0.016,Higher predictor values were associated with lower odds of the outcome.
Main sample: grades 10-12,STI-related outcomes,STD testing or treatment,"School connectedness/climate core index, standardized",3255,232,3023,0.6349479296273219,0.5509289580487496,0.7317801459663853,4.0303362126120895e-10,fitted,primary,0.63,[0.55; 0.73],<0.001,Higher predictor values were associated with lower odds of the outcome.
Main sample: grades 10-12,STI-related outcomes,STD testing or treatment,"School adjustment/problem index, standardized",3255,232,3023,1.284314109012144,1.1053483106708437,1.4922560741116857,0.001093592429106528,fitted,primary,1.28,[1.11; 1.49],0.001,Higher predictor values were associated with higher odds of the outcome.
Main sample: grades 10-12,STI-related outcomes,STD testing or treatment,"School connectedness/climate extended index, standardized",3255,232,3023,0.610105169566509,0.5300301343696768,0.7022776513913506,6.982047240359588e-12,fitted,sensitivity,0.61,[0.53; 0.70],<0.001,Higher predictor values were associated with lower odds of the outcome.
Main sample: grades 10-12,STI-related outcomes,Self-reported chlamydia diagnosis,"School connectedness/climate core index, standardized",1763,59,1704,0.6879864925732062,0.5238152620529126,0.9036113459316691,0.007241460529704058,fitted,primary,0.69,[0.52; 0.90],0.007,Higher predictor values were associated with lower odds of the outcome.
Main sample: grades 10-12,STI-related outcomes,Self-reported chlamydia diagnosis,"School adjustment/problem index, standardized",1763,59,1704,1.282449940854307,0.9511991800955005,1.7290572628879788,0.10289707766529406,fitted,primary,1.28,[0.95; 1.73],0.103,No statistically significant association at the 5 percent level.
Main sample: grades 10-12,STI-related outcomes,Self-reported chlamydia diagnosis,"School connectedness/climate extended index, standardized",1763,59,1704,0.6653799521444572,0.5070747642867912,0.8731069102570461,0.0033367494388712397,fitted,sensitivity,0.67,[0.51; 0.87],0.003,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Sexual initiation,Sexual initiation,"School connectedness/climate core index, standardized",3208,1755,1453,0.662123095686864,0.6076897860363029,0.7214322239995095,8.358693264049416e-21,fitted,primary,0.66,[0.61; 0.72],<0.001,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Sexual initiation,Sexual initiation,"School adjustment/problem index, standardized",3208,1755,1453,1.4152458637507763,1.2927842209607154,1.5493079373874448,7.003437315784874e-14,fitted,primary,1.42,[1.29; 1.55],<0.001,Higher predictor values were associated with higher odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Sexual initiation,Sexual initiation,"School connectedness/climate extended index, standardized",3208,1755,1453,0.6738809405503978,0.6185953995230732,0.7341074996471109,2.712024644540675e-19,fitted,sensitivity,0.67,[0.62; 0.73],<0.001,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Birth control use at most recent sex,"School connectedness/climate core index, standardized",1738,1197,541,1.2001201419646104,1.0772234858581906,1.3370376473009438,9.53628978338024e-4,fitted,primary,1.20,[1.08; 1.34],<0.001,Higher predictor values were associated with higher odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Birth control use at most recent sex,"School adjustment/problem index, standardized",1738,1197,541,0.8305957695025733,0.73928427301221,0.9331854572052796,0.0018148880881091582,fitted,primary,0.83,[0.74; 0.93],0.002,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Birth control use at most recent sex,"School connectedness/climate extended index, standardized",1738,1197,541,1.2079181093240334,1.0843552689728349,1.345560998855164,6.156402327733147e-4,fitted,sensitivity,1.21,[1.08; 1.35],<0.001,Higher predictor values were associated with higher odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Ever used a condom during sex,"School connectedness/climate core index, standardized",398,244,154,0.8378715807833401,0.6593049882337189,1.0648012655950194,0.14882223198198508,fitted,primary,0.84,[0.66; 1.06],0.149,No statistically significant association at the 5 percent level.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Ever used a condom during sex,"School adjustment/problem index, standardized",398,244,154,0.9364662416429294,0.7499064900677261,1.1694378343860337,0.5628467530805341,fitted,primary,0.94,[0.75; 1.17],0.563,No statistically significant association at the 5 percent level.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Contraception and protection,Ever used a condom during sex,"School connectedness/climate extended index, standardized",398,244,154,0.8710719742528445,0.6985345151293145,1.0862260459503328,0.22108122701146665,fitted,sensitivity,0.87,[0.70; 1.09],0.221,No statistically significant association at the 5 percent level.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Pregnancy and reproductive experience,Ever been pregnant,"School connectedness/climate core index, standardized",892,161,731,0.8535303774578916,0.7156924492487895,1.017915036001958,0.07834538732641197,fitted,primary,0.85,[0.72; 1.02],0.078,No statistically significant association at the 5 percent level.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Pregnancy and reproductive experience,Ever been pregnant,"School adjustment/problem index, standardized",892,161,731,1.0270820883643277,0.8342092662377651,1.264547948497809,0.8012456532384512,fitted,primary,1.03,[0.83; 1.26],0.801,No statistically significant association at the 5 percent level.
Restricted sensitivity sample: grades 10-12 and ages 15-19,Pregnancy and reproductive experience,Ever been pregnant,"School connectedness/climate extended index, standardized",892,161,731,0.8182903481409003,0.6909236357021146,0.9691361812801658,0.020394613454564104,fitted,sensitivity,0.82,[0.69; 0.97],0.020,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,STD testing or treatment,"School connectedness/climate core index, standardized",3237,229,3008,0.64069834249993185,0.5550086479552121,0.7396179637822254,1.3626637250852983e-9,fitted,primary,0.64,[0.56; 0.74],<0.001,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,STD testing or treatment,"School adjustment/problem index, standardized",3237,229,3008,1.271794057023142,1.0929661035518385,1.4798813231472447,0.0018883836013925384,fitted,primary,1.27,[1.09; 1.48],0.002,Higher predictor values were associated with higher odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,STD testing or treatment,"School connectedness/climate extended index, standardized",3237,229,3008,0.6149633321901784,0.5334266006146778,0.70896333160488,2.4580525895411762e-11,fitted,sensitivity,0.61,[0.53; 0.71],<0.001,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported chlamydia diagnosis,"School connectedness/climate core index, standardized",1753,58,1695,0.6937413503564671,0.5237998769710079,0.9188185838788443,0.010839018911192017,fitted,primary,0.69,[0.52; 0.92],0.011,Higher predictor values were associated with lower odds of the outcome.
Restricted sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported chlamydia diagnosis,"School adjustment/problem index, standardized",1753,58,1695,1.2701523367689531,0.9363647972333242,1.7229256838428877,0.12439646275893843,fitted,primary,1.27,[0.94; 1.72],0.124,No statistically significant association at the 5 percent level.
Restricted sensitivity sample: grades 10-12 and ages 15-19,STI-related outcomes,Self-reported chlamydia diagnosis,"School connectedness/climate extended index, standardized",1753,58,1695,0.6720905694669651,0.5079937756051605,0.8891954099798242,0.005455659222870723,fitted,sensitivity,0.67,[0.51; 0.89],0.005,Higher predictor values were associated with lower odds of the outcome.
