variable_name,variable_label,variable_class,n_observations,n_missing,n_nonmissing,pct_missing,pct_nonmissing,n_unique_values,is_original_imported,is_clean_numeric,is_analytical_recode,is_derived_script05
H1WP10,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,haven_labelled,6504,374,6130,5.75,94.25,6,TRUE,FALSE,FALSE,FALSE
H1WP13,S16Q13 CLOSE TO DAD-W1,haven_labelled,6504,1957,4547,30.09,69.91,6,TRUE,FALSE,FALSE,FALSE
H1WP14,S16Q14 DAD-HOW MUCH DOES HE CARE-W1,haven_labelled,6504,1957,4547,30.09,69.91,6,TRUE,FALSE,FALSE,FALSE
H1RP3,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,haven_labelled,6504,2077,4427,31.93,68.07,6,TRUE,FALSE,FALSE,FALSE
H1MO9,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,haven_labelled,6504,2159,4345,33.19,66.81,6,TRUE,FALSE,FALSE,FALSE
H1MO10,S17Q10 IF PREGNANT EMBARRASS SELF-W1,haven_labelled,6504,2148,4356,33.03,66.97,6,TRUE,FALSE,FALSE,FALSE
H1MO11,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,haven_labelled,6504,2171,4333,33.38,66.62,6,TRUE,FALSE,FALSE,FALSE
H1MO12,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,haven_labelled,6504,2164,4340,33.27,66.73,6,TRUE,FALSE,FALSE,FALSE
H1MO13,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,haven_labelled,6504,2153,4351,33.1,66.9,6,TRUE,FALSE,FALSE,FALSE
H1MO14,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,haven_labelled,6504,2154,4350,33.12,66.88,6,TRUE,FALSE,FALSE,FALSE
derived_grade_wave1,NA,numeric,6504,167,6337,2.57,97.43,7,TRUE,FALSE,FALSE,TRUE
derived_grade_10_12_flag,NA,logical,6504,0,6504,0,100,2,TRUE,FALSE,FALSE,TRUE
derived_age_wave1,NA,numeric,6504,3,6501,0.05,99.95,12,TRUE,FALSE,FALSE,TRUE
derived_age_15_19_flag,NA,logical,6504,0,6504,0,100,2,TRUE,FALSE,FALSE,TRUE
derived_main_sample_flag,NA,logical,6504,0,6504,0,100,2,TRUE,FALSE,FALSE,TRUE
derived_strict_sample_flag,NA,logical,6504,0,6504,0,100,2,TRUE,FALSE,FALSE,TRUE
a_grade_wave1,NA,numeric,6504,167,6337,2.57,97.43,7,FALSE,FALSE,TRUE,FALSE
a_sample_grade_10_12,NA,logical,6504,0,6504,0,100,2,FALSE,FALSE,TRUE,FALSE
a_age_wave1,NA,numeric,6504,3,6501,0.05,99.95,12,FALSE,FALSE,TRUE,FALSE
a_sample_age_15_19,NA,logical,6504,0,6504,0,100,2,FALSE,FALSE,TRUE,FALSE
a_female,NA,integer,6504,1,6503,0.02,99.98,2,FALSE,FALSE,TRUE,FALSE
a_main_sample_grade_10_12,NA,logical,6504,0,6504,0,100,2,FALSE,FALSE,TRUE,FALSE
a_strict_sample_grade_age,NA,logical,6504,0,6504,0,100,2,FALSE,FALSE,TRUE,FALSE
num_H1GI20,NA,numeric,6504,167,6337,2.57,97.43,7,FALSE,TRUE,FALSE,FALSE
num_H1GI1Y,NA,numeric,6504,3,6501,0.05,99.95,11,FALSE,TRUE,FALSE,FALSE
num_H1GI1M,NA,numeric,6504,3,6501,0.05,99.95,13,FALSE,TRUE,FALSE,FALSE
num_IMONTH,NA,numeric,6504,0,6504,0,100,10,FALSE,TRUE,FALSE,FALSE
