model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status
main_grade_10_12__a_H1CO16C_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16C_yesno,M6_final_parsimonious_model,num_H1BC42,num_H1BC4,-16.484790480807398,1.0960580013663688,-15.040071292082274,2.0353708269188924e-47,6.930211021318847e-8,8.086545841554228e-9,5.939226183967122e-7,***,estimated
main_grade_10_12__a_H1CO16C_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16C_yesno,M6_final_parsimonious_model,num_H1HS9,num_H1HS9,1.9554317891435888,0.5150277931414937,3.796750030160746,1.5304102952396547e-4,7.066969805846741,2.575329055734697,19.392497485142503,***,estimated
main_grade_10_12__a_H1CO16C_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO16C_yesno,M6_final_parsimonious_model,num_PA21,num_PA21,1.5217842267877586,0.7194476130469987,2.1152120031960497,0.03459278309216013,4.580390363905286,1.1181403518887323,18.76327587168963,*,estimated
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,num_H1PR86,num_H1PR8,11.340712898113885,1.211335865534855,9.36215398287286,4.926215667898263e-20,84180.02153234802,7836.084806361432,904313.340181547,***,estimated
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,num_H1RM1,num_H1RM1,0.10309953593967601,0.034929886719125246,2.9516138076458653,0.003234319938160512,1.1086017493013502,1.0352438035572598,1.187157879458911,**,estimated
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,num_H1PR72,num_H1PR7,-1.8369980292075818,0.7365557776664825,-2.49403790576114,0.012789042352700813,0.15929490771576071,0.037603905908590175,0.6747934027346911,*,estimated
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,num_H1PR74,num_H1PR7,-1.8638981532708885,0.7494244445511165,-2.487106161031763,0.01303937573313107,0.1550669758287921,0.035694093052852906,0.6736623608024493,*,estimated
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,num_H1PR73,num_H1PR7,-1.7737613691368497,0.7353895356896658,-2.4120024599933614,0.01604281497154979,0.16969350699580635,0.040150320378234225,0.7172019063675079,*,estimated
main_grade_10_12__a_H1CO3_yesno__M1_family_context,main_grade_10_12,a_H1CO3_yesno,M1_family_context,num_H1PR75,num_H1PR7,-1.837856140299798,0.7795596253368864,-2.357556857187889,0.018585762281398178,0.1591582736205169,0.03453461909766557,0.7335061663840862,*,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1SE15,num_H1SE1,-0.996397049741188,0.28523891741438073,-3.4932016247056237,4.894140677547488e-4,0.369207283137079,0.21109113319554323,0.6457590892516997,***,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1SE23,num_H1SE2,-0.6880859843018755,0.23676869042538976,-2.9061527648171213,0.003706112739904873,0.5025370128734531,0.3159559046005043,0.7992996669174136,**,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1BC45,num_H1BC4,1.0825050825577742,0.3893670828471567,2.7801658903526367,0.005492632329179825,2.9520654637451598,1.3762268669768911,6.332306621349557,**,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1BC15,num_H1BC1,0.762907168184951,0.3072379654609237,2.483114894477395,0.013119152698480775,2.144501593814765,1.1743569907403928,3.916089504414346,*,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1SE24,num_H1SE2,-1.1550472820028788,0.4855878855800981,-2.378657533070505,0.017485054160736452,0.31504264070421034,0.121626605550125,0.8160374534252565,*,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1SE22,num_H1SE2,-0.37754263895548323,0.1590533574449527,-2.373685441290658,0.017721464719674677,0.6855439700822752,0.5019337101281194,0.9363199271796402,*,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1SE14,num_H1SE1,-0.6347255330258642,0.2773614430010004,-2.2884418474256885,0.022233298340305675,0.5300809580699424,0.30778494779981974,0.9129290568527035,*,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1BC44,num_H1BC4,0.8793080243282378,0.387618279031074,2.268489573108462,0.0234235781095835,2.4092319995461478,1.127019116752777,5.150222158042046,*,estimated
main_grade_10_12__a_H1CO3_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO3_yesno,M3_knowledge_attitudes,num_H1BC14,num_H1BC1,0.6294325807235882,0.31136167904096906,2.021548003795185,0.04337856749390071,1.8765454890330149,1.0193484919158866,3.454582020121077,*,estimated
main_grade_10_12__a_H1CO3_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO3_yesno,M4_peers_relationships,num_H1PF123,num_H1PF12,-0.5202291787009508,0.18579982205432288,-2.799944439929817,0.005168218966733525,0.5943843121350941,0.4129631852076217,0.8555065515941507,**,estimated
main_grade_10_12__a_H1CO3_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO3_yesno,M4_peers_relationships,num_H1PF124,num_H1PF12,-0.8302866923268383,0.3401247854642067,-2.44112375166559,0.014741815124059757,0.4359242922552999,0.2238159376491587,0.8490458301328141,*,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1SE15,num_H1SE1,-0.8888830047855628,0.30171630138540834,-2.946088761873412,0.0032628829881779405,0.4111147095415003,0.2275814789453405,0.7426584324200894,**,estimated
