model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,a_age_wave1,a_age_wave1,-0.27377503016981886,0.2267318149989413,-1.2074839614859398,0.22799095806092545,0.7605031462809224,0.4876441267769981,1.1860391702567783,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,2.432181800477543,0.27377503016981886,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1PA33,num_H1PA3,0.7244032296729356,0.6218134010583046,1.1649849109717267,0.2447501735888291,2.063499297300857,0.6099666250152552,6.980757922377532,NA,estimated,condom_or_contraceptive_use,other,11.444491610017096,0.7244032296729358,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE36,num_H1SE3,1.8123438479907084,1.740875252125507,1.0410532551243648,0.298507545078072,6.124786189536413,0.20194262710113103,185.76071038607316,NA,estimated,condom_or_contraceptive_use,sexual_behavior_related,919.8687421900572,1.8123438479907084,not_statistically_significant,higher_odds,extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,review_due_to_very_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1BC73,num_H1BC7,1.01892130253862,1.106566836690599,0.9207950832738674,0.3577370322330957,2.7702049386608905,0.31665269744034746,24.23486508788342,NA,estimated,condom_or_contraceptive_use,other,76.53452910328957,1.0189213025386201,not_statistically_significant,higher_odds,not_extreme,wide_ci_review,no_automatic_overlap_flag,review_due_to_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE34,num_H1SE3,-0.5650254780548734,0.7628777318919707,-0.7406501126380829,0.4593594306019634,0.5683456662310021,0.1274200929823145,2.5350538424767546,NA,estimated,condom_or_contraceptive_use,sexual_behavior_related,19.895244016409656,0.5650254780548734,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1BC72,num_H1BC7,-0.8782491637934146,1.3777442860304212,-0.6374544047820659,0.5242097770300502,0.4155097647358723,0.02791397095501364,6.1850162726435896,NA,estimated,condom_or_contraceptive_use,other,221.57421753470356,0.8782491637934146,not_statistically_significant,lower_odds,not_extreme,very_wide_ci_review,no_automatic_overlap_flag,review_due_to_very_wide_ci
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,(Intercept),(Intercept),1.5596320116961049,4.122921848198849,0.3782831858375996,0.705429814349821,4.757070376748617,0.00147176221451935,15375.93392878994,NA,estimated,condom_or_contraceptive_use,other,10447294.934672197,1.5596320116961047,not_statistically_significant,higher_odds,not_extreme,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept
main_grade_10_12__a_H1CO13_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1CO13_yesno,M3_knowledge_attitudes,num_H1SE22,num_H1SE2,-0.03949162773556771,0.3836033317677789,-0.1029491259984016,0.918057229175658,0.961278002030534,0.45323063365167193,2.0388193749012853,NA,estimated,condom_or_contraceptive_use,sexual_behavior_related,4.498414766174454,0.039491627735567615,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,num_H1PF125,num_H1PF12,-3.7662016976810055,1.1705922570545848,-3.2173471804413167,0.00138355006529138,0.02313978849062045,0.00233308810609013,0.22950261072136463,**,estimated,condom_or_contraceptive_use,other,98.36860002084236,3.766201697681006,p_lt_0_01,lower_odds,very_extreme_or_review,wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,a_grade_wave112,a_grade_wave1,0.8394689680741044,0.4570896480611076,1.8365521329021153,0.06691009061466846,2.315137238508371,0.9451357205929184,5.6709955156130665,.,estimated,condom_or_contraceptive_use,core_sociodemographic,6.0001917100915865,0.8394689680741044,p_lt_0_10,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
