model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M3_C_adjusted,linear_regression,family_connectedness_mean_1_5,0.03839,0.04028,0.9531,0.34068,0.341,-0.04061,0.1174,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,linear_regression,friend_support_mean_1_5,-0.07106,0.03477,-2.0436,0.04112,0.041,-0.13925,-0.00287,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,linear_regression,age_covariate,-0.00821,0.04265,-0.1926,0.84732,0.847,-0.09187,0.07544,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,linear_regression,sex_covariateMale,-0.22857,0.05066,-4.5122,1e-5,<0.001,-0.32792,-0.12923,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,linear_regression,grade_covariate,-0.03683,0.03972,-0.9274,0.35384,0.354,-0.11473,0.04106,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,linear_regression,residence_covariateUrban,0.00952,0.05525,0.1724,0.86317,0.863,-0.09883,0.11787,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_D_adjusted_weighted,linear_regression,(Intercept),3.80257,0.46257,8.2205,0,<0.001,2.89539,4.70976,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,linear_regression,family_connectedness_mean_1_5,0.0401,0.04037,0.9933,0.3207,0.321,-0.03908,0.11929,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,linear_regression,friend_support_mean_1_5,-0.06327,0.03494,-1.8109,0.07031,0.070,-0.13178,0.00525,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,linear_regression,age_covariate,-0.02687,0.04307,-0.624,0.53272,0.533,-0.11133,0.05759,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,linear_regression,sex_covariateMale,-0.20605,0.05041,-4.0877,5e-5,<0.001,-0.30491,-0.10719,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,linear_regression,grade_covariate,-0.03301,0.0398,-0.8294,0.40696,0.407,-0.11108,0.04505,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
