priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,file_name,page_number,n_hits_on_page,matched_keywords,page_rank_within_document,manual_review_action,context_exported
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,219,4,birth control; contraceptive; method; pill,5,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,492,3,birth control; contraception; pill,1,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,493,2,method; pill,2,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,252,1,method,3,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,253,1,method,4,Review this page first; keyword density suggests possible relevant variable entries.,No
8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Wave I to Wave III,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,282,1,method,5,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,611,4,birth; got pregnant; pregnancy; pregnant,1,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,612,4,birth; got pregnant; pregnancy; pregnant,2,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,614,4,birth; got pregnant; pregnancy; pregnant,3,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,615,4,birth; got pregnant; pregnancy; pregnant,4,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,617,4,birth; got pregnant; pregnancy; pregnant,5,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,1059,4,birth; pregnancy; pregnancy outcome; pregnant,1,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,1066,4,birth; pregnancy; pregnancy outcome; pregnant,2,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,1071,4,birth; pregnancy; pregnancy outcome; pregnant,3,Review this page first; keyword density suggests possible relevant variable entries.,No
