sample_name,variable,variable_label,variable_class,variable_role,n_total,n_missing,n_nonmissing,pct_missing,pct_nonmissing,weighted_pct_missing,weighted_pct_nonmissing,n_unique_nonmissing,is_binary_01,public_n_nonmissing,availability_class
full_weighted_wave1,H1MO5,S17Q5 IF SEX LOT OF PHYSICAL PLEASURE-W1,haven_labelled,original_imported_variable,6504,2207,4297,33.93,66.07,37.09,62.91,5,FALSE,4297,moderate_availability
full_weighted_wave1,H1PA3,S34Q3 MOM-USE OF BIRTHCONTROL-W1,haven_labelled,original_imported_variable,6504,481,6023,7.4,92.6,7.92,92.08,5,FALSE,6023,high_availability
full_weighted_wave1,H1PA6,S34Q6 DAD-USE OF BIRTHCONTROL-W1,haven_labelled,original_imported_variable,6504,2271,4233,34.92,65.08,33.57,66.43,5,FALSE,4233,moderate_availability
full_weighted_wave1,H1PA7,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,haven_labelled,original_imported_variable,6504,115,6389,1.77,98.23,2.09,97.91,2,TRUE,6389,high_availability
full_weighted_wave1,H1PR3,S35Q3 PARENTS CARE ABOUT YOU-W1,haven_labelled,original_imported_variable,6504,24,6480,0.37,99.63,0.41,99.59,6,FALSE,6480,high_availability
full_weighted_wave1,H1PR5,S35Q5 FAMILY UNDERSTAND YOU-W1,haven_labelled,original_imported_variable,6504,29,6475,0.45,99.55,0.49,99.51,6,FALSE,6475,high_availability
full_weighted_wave1,H1PR7,S35Q7 FAMIYL HAS FUN TOGETHER-W1,haven_labelled,original_imported_variable,6504,29,6475,0.45,99.55,0.52,99.48,6,FALSE,6475,high_availability
full_weighted_wave1,H1PR8,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,haven_labelled,original_imported_variable,6504,27,6477,0.42,99.58,0.48,99.52,6,FALSE,6477,high_availability
full_weighted_wave1,H1WP9,S16Q9 CLOSE TO MOM-W1,haven_labelled,original_imported_variable,6504,375,6129,5.77,94.23,5.93,94.07,5,FALSE,6129,high_availability
full_weighted_wave1,H1WP10,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,haven_labelled,original_imported_variable,6504,374,6130,5.75,94.25,5.92,94.08,5,FALSE,6130,high_availability
full_weighted_wave1,H1WP13,S16Q13 CLOSE TO DAD-W1,haven_labelled,original_imported_variable,6504,1957,4547,30.09,69.91,28.31,71.69,5,FALSE,4547,moderate_availability
