variable_name,variable_label,variable_class,n_unique_values,is_original_imported,is_clean_numeric,is_analytical_recode,is_derived_script05
H1MO14,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,haven_labelled,6,TRUE,FALSE,FALSE,FALSE
derived_grade_wave1,NA,numeric,7,TRUE,FALSE,FALSE,TRUE
derived_grade_10_12_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
derived_age_wave1,NA,numeric,12,TRUE,FALSE,FALSE,TRUE
derived_age_15_19_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
derived_main_sample_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
derived_strict_sample_flag,NA,logical,2,TRUE,FALSE,FALSE,TRUE
a_grade_wave1,NA,numeric,7,FALSE,FALSE,TRUE,FALSE
a_sample_grade_10_12,NA,logical,2,FALSE,FALSE,TRUE,FALSE
a_age_wave1,NA,numeric,12,FALSE,FALSE,TRUE,FALSE
a_sample_age_15_19,NA,logical,2,FALSE,FALSE,TRUE,FALSE
a_female,NA,integer,2,FALSE,FALSE,TRUE,FALSE
a_main_sample_grade_10_12,NA,logical,2,FALSE,FALSE,TRUE,FALSE
a_strict_sample_grade_age,NA,logical,2,FALSE,FALSE,TRUE,FALSE
num_H1GI20,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1GI1Y,NA,numeric,11,FALSE,TRUE,FALSE,FALSE
num_H1GI1M,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_IMONTH,NA,numeric,10,FALSE,TRUE,FALSE,FALSE
num_IYEAR,NA,numeric,2,FALSE,TRUE,FALSE,FALSE
num_H1CO1,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO2M,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_H1CO2Y,NA,numeric,16,FALSE,TRUE,FALSE,FALSE
num_H1CO8,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1CO3,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO6,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO13,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1FP7,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1FP8,NA,numeric,5,FALSE,TRUE,FALSE,FALSE
num_H1CO16D,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1HS9,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO16A,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1CO16C,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1SE1,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1SE2,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1SE3,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PF6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PF12,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PF9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PF17,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP1,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1WP2,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1WP8,NA,numeric,9,FALSE,TRUE,FALSE,FALSE
num_H1ED19,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1ED20,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1ED23,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1ED24,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PR2,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_BIO_SEX,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1RM1,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_H1RF1,NA,numeric,13,FALSE,TRUE,FALSE,FALSE
num_PA55,NA,numeric,151,FALSE,TRUE,FALSE,FALSE
num_PA21,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1TS8,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1GH44,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1GH46,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1RP5,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1RP6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC1,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC2,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC4,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC5,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC7,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1BC8,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO1,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO2,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO5,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PA3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PA6,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1PA7,NA,numeric,3,FALSE,TRUE,FALSE,FALSE
num_H1PR3,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PR5,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PR7,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1PR8,NA,numeric,7,FALSE,TRUE,FALSE,FALSE
num_H1WP9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP10,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP13,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1WP14,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1RP3,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO9,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO10,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO11,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO12,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO13,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
num_H1MO14,NA,numeric,6,FALSE,TRUE,FALSE,FALSE
a_sex_ever,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO8_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO9_yesno,NA,integer,1,FALSE,FALSE,TRUE,FALSE
a_H1CO3_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO6_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO13_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1FP7_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1FP8_yesno,NA,integer,1,FALSE,FALSE,TRUE,FALSE
a_H1CO16D_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1HS9_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO16A_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
a_H1CO16C_yesno,NA,integer,3,FALSE,FALSE,TRUE,FALSE
