model_id,sample_name,outcome,model_stage,predictor,predictor_source,predictor_status
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,num_H1RM1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,num_H1WP1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,num_H1WP14,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,num_PA55,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M2_school_context,main_grade_10_12,a_H1FP7_yesno,M2_school_context,a_age_wave1,mandatory_control,not_used
main_grade_10_12__a_H1FP7_yesno__M2_school_context,main_grade_10_12,a_H1FP7_yesno,M2_school_context,a_female,mandatory_control,not_used
main_grade_10_12__a_H1FP7_yesno__M2_school_context,main_grade_10_12,a_H1FP7_yesno,M2_school_context,a_grade_wave1,mandatory_control,not_used
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,num_H1HS9,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,num_H1MO10,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,num_H1MO13,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,num_H1MO9,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1FP7_yesno,M3_knowledge_attitudes,num_H1PA7,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M4_peers_relationships,main_grade_10_12,a_H1FP7_yesno,M4_peers_relationships,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M4_peers_relationships,main_grade_10_12,a_H1FP7_yesno,M4_peers_relationships,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1FP7_yesno__M4_peers_relationships,main_grade_10_12,a_H1FP7_yesno,M4_peers_relationships,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M4_peers_relationships,main_grade_10_12,a_H1FP7_yesno,M4_peers_relationships,num_H1PF12,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1FP7_yesno,M5_general_risk_behaviors,a_age_wave1,mandatory_control,not_used
main_grade_10_12__a_H1FP7_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1FP7_yesno,M5_general_risk_behaviors,a_female,mandatory_control,not_used
main_grade_10_12__a_H1FP7_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1FP7_yesno,M5_general_risk_behaviors,a_grade_wave1,mandatory_control,not_used
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1BC1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1GI1Y,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1HS9,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1MO10,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1MO11,suggested_block_predictor,used_in_model
