model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M2_D_adjusted_weighted,standardized_linear_regression,age_covariate,-0.03426,0.03874,-0.8842,0.3767,0.377,-0.11023,0.04172,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,standardized_linear_regression,sex_covariateMale,-0.60312,0.04224,-14.2784,0,<0.001,-0.68596,-0.52028,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,standardized_linear_regression,grade_covariate,0.05915,0.03846,1.5382,0.12415,0.124,-0.01626,0.13457,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M2_D_adjusted_weighted,standardized_linear_regression,residence_covariateUrban,-0.03178,0.04655,-0.6827,0.49487,0.495,-0.12306,0.05951,peer_norm_delay_H1MO1,Peer norm item,D_adjusted_weighted,TRUE
M3_A_unadjusted,standardized_linear_regression,(Intercept),-0,0.02188,-0,1,1.000,-0.04291,0.04291,partner_norm_delay_H1MO2,Partner norm item,A_unadjusted,FALSE
M3_A_unadjusted,standardized_linear_regression,family_connectedness_mean_1_5,0.02534,0.02189,1.1576,0.24714,0.247,-0.01759,0.06826,partner_norm_delay_H1MO2,Partner norm item,A_unadjusted,FALSE
M3_B_interpersonal,standardized_linear_regression,(Intercept),0,0.02188,0,1,1.000,-0.04291,0.04291,partner_norm_delay_H1MO2,Partner norm item,B_interpersonal,FALSE
M3_B_interpersonal,standardized_linear_regression,family_connectedness_mean_1_5,0.03707,0.02294,1.6162,0.10621,0.106,-0.00791,0.08205,partner_norm_delay_H1MO2,Partner norm item,B_interpersonal,FALSE
M3_B_interpersonal,standardized_linear_regression,friend_support_mean_1_5,-0.03834,0.02294,-1.6717,0.09474,0.095,-0.08333,0.00664,partner_norm_delay_H1MO2,Partner norm item,B_interpersonal,FALSE
M3_C_adjusted,standardized_linear_regression,(Intercept),0.09583,0.0474,2.0216,0.04336,0.043,0.00286,0.18879,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,standardized_linear_regression,family_connectedness_mean_1_5,0.02248,0.02359,0.9531,0.34068,0.341,-0.02378,0.06875,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
