model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision,final_model_decision,final_model_reporting_status,suitability_score,final_selection_class
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,-0.5336885617436458,0.3672683925926205,-1.4531295709283127,0.14653947896587213,0.5864378631153059,0.2854939014028215,1.2046119570519394,NA,estimated,pregnancy_or_reproductive_experience,core_sociodemographic,4.219396460424826,0.5336885617436458,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1FP7_yesno__M0_core_controls,main_grade_10_12,a_H1FP7_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,-0.22422880776554197,0.3165159332143903,-0.7084281839728486,0.4788644800364178,0.7991322657811806,0.4297291996809062,1.4860809521130107,NA,estimated,pregnancy_or_reproductive_experience,core_sociodemographic,3.4581800659962005,0.2242288077655419,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,(Intercept),(Intercept),-10.861205637315786,1.7485663917190526,-6.211491704720405,5.914069581477669e-10,1.9188380636297705e-5,6.23201606178386e-7,5.9081033776741e-4,***,estimated,hiv_sti_or_sexual_health,other,948.0244144272883,10.861205637315786,p_lt_0_001,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.47431890611422134,0.10728867854078232,4.420959532406994,1.0147929600886368e-5,1.606919361732922,1.3021712924757796,1.982987837339511,***,estimated,hiv_sti_or_sexual_health,core_sociodemographic,1.5228317877975295,0.4743189061142213,p_lt_0_001,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,0.17228116634902726,0.23471480472594017,0.7340021288822739,0.4630003721664666,1.1880118152041397,0.7499416684219737,1.881975802243982,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,2.509496246826814,0.1722811663490275,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.08721445448285019,0.26807737457353437,0.32533314167819494,0.7449498859941678,1.0911306524889277,0.6451856335236843,1.8453078291570613,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,2.8601192172846504,0.08721445448285013,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,(Intercept),(Intercept),-4.912796334631903,0.9661108260098004,-5.085127091394447,3.8836324204335827e-7,0.0073519011846145,0.00110669901623535,0.04883934135244734,***,estimated,sexual_initiation,other,44.13064495040736,4.912796334631904,p_lt_0_001,lower_odds,very_extreme_or_review,wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,a_age_wave1,a_age_wave1,0.288230423581535,0.06003639322341862,4.800928372044574,1.6512370555548106e-6,1.3340646686689588,1.1859677320926576,1.500655112302644,***,estimated,sexual_initiation,core_sociodemographic,1.2653422784570334,0.288230423581535,p_lt_0_001,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,a_grade_wave112,a_grade_wave1,0.3983716211806088,0.14705644586190017,2.708970823045167,0.00678492395423993,1.489397418702544,1.1164354625752289,1.9869528917694383,**,estimated,sexual_initiation,core_sociodemographic,1.7797292887725262,0.39837162118060876,p_lt_0_01,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,a_grade_wave111,a_grade_wave1,0.27575587637320914,0.1099599375959648,2.5077849478820418,0.01219785717651629,1.317526185493441,1.062085468808066,1.6344025979462815,*,estimated,sexual_initiation,core_sociodemographic,1.5388616509182664,0.27575587637320903,p_lt_0_05,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,candidate_for_interpretation,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
