model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion,model_stage_rank,min_outcome_cell,n_coefficients_reviewed,n_significant_05,n_significant_10,n_extreme_or,n_very_extreme_or,n_or_missing,n_not_estimable_terms,n_wide_ci,n_very_wide_ci,n_possible_conceptual_overlap,n_candidate_for_interpretation,n_coefficients_requiring_review,model_sample_flag,outcome_cell_flag,parameter_pressure_flag,instability_flag,conceptual_review_flag,final_selection_class,suitability_score,selection_priority
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,1,1581,1581,1098,483,1098,483,5012246.698753484,3505923.552601662,69.94714672511161,fitted,NA,NA,26,1555,1932.9668423175783,1848.9433429753217,0.9967905993571416,3,483,25,9,12,0,2,0,0,4,2,0,7,6,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO6_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO6_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO6_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO6_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO8_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO8_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,1,225,225,129,96,129,96,743315.118758071,442414.862977588,59.519153023118065,fitted,NA,NA,43,182,303.7109524290491,226.27421225610135,1.2585507357545946,1,96,42,4,8,4,2,0,0,15,9,0,1,25,small_model_sample_review,adequate_outcome_cell,high_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1CO8_yesno__M2_school_context,main_grade_10_12,a_H1CO8_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO8_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO8_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1CO8_yesno__M5_general_risk_behaviors,main_grade_10_12,a_H1CO8_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1MO10; num_H1HS9; num_H1MO9; num_H1PA7; num_H1MO13; num_H1PR8; num_H1WP1; num_H1MO11; num_H1BC1; num_H1GI1Y; num_H1RP5; num_H1MO14,1,811,811,128,683,128,683,2525574.417518565,379969.442014303,15.044872143883676,fitted,NA,NA,45,766,686.8953487707919,521.8824910288354,1.015153231697511,1,128,44,9,11,2,2,0,0,7,5,0,5,14,adequate_model_sample,adequate_outcome_cell,moderate_parameter_pressure_review,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1FP7_yesno__M1_family_context,main_grade_10_12,a_H1FP7_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,1,379,379,53,326,53,326,1242519.131294217,165187.060190761,13.294528513110372,fitted,NA,NA,15,364,297.09617897639447,246.6868499013681,1.031939006509695,3,53,14,6,8,0,4,0,0,1,7,0,2,8,adequate_model_sample,adequate_outcome_cell,parameter_pressure_acceptable,very_extreme_or_review,no_automatic_conceptual_overlap_flag,review_before_reporting,0,3
main_grade_10_12__a_H1FP7_yesno__M2_school_context,main_grade_10_12,a_H1FP7_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,NA,NA,NA,NA,NA,NA,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,not_fitted,not_fitted,not_fitted,not_fitted,not_fitted,not_selectable_not_fitted,0,9
