outcome,model_stage,term,term_variable,main_odds_ratio,main_p_value,main_conf_low_or,main_conf_high_or,strict_odds_ratio,strict_p_value,strict_conf_low_or,strict_conf_high_or,main_direction,strict_direction,same_direction,main_significant_05,strict_significant_05,both_significant_05,either_significant_05,absolute_log_or_difference,robustness_status
a_H1CO16C_yesno,M6_final_parsimonious_model,num_H1MO95,num_H1MO9,2.6862412275826455,0.3748606458641571,0.3031160758379864,23.80570516695909,2.67078523203254,0.3768543729000532,0.30247768518714935,23.582214837533265,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.005770379725949293,same_direction_not_statistically_prioritized
a_H1CO16C_yesno,M6_final_parsimonious_model,num_H1MO94,num_H1MO9,1.7480951919326064,0.6061905540800696,0.20919327128407117,14.60772032150242,1.762981192465651,0.5988873930678613,0.21324948457226903,14.574959893674633,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.008479502065784739,same_direction_not_statistically_prioritized
a_H1CO16C_yesno,M6_final_parsimonious_model,num_H1MO92,num_H1MO9,0.6799339661613524,0.7675740226246309,0.05268123155346631,8.775614857650151,0.6842245273956156,0.7708847039388278,0.05324118783883731,8.793252421544343,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.006290435315973675,same_direction_not_statistically_prioritized
a_H1CO16C_yesno,M6_final_parsimonious_model,num_H1MO93,num_H1MO9,1.252603686561966,0.8456454352182067,0.12978345611599204,12.08949154649066,1.2761604225515188,0.8319543315982939,0.1342369291574051,12.132171335484037,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.01863156579017014,same_direction_not_statistically_prioritized
a_H1CO16C_yesno,M6_final_parsimonious_model,num_H1TS8,num_H1TS8,0.2736057507140274,0.06883046434320675,0.06780709984432752,1.1040157593474922,0.2758319098454638,0.07037841605985548,0.06842755152414295,1.1118802411357949,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.008103453669567662,same_direction_not_statistically_prioritized
a_H1CO16C_yesno,M6_final_parsimonious_model,num_PA21,num_PA21,4.580390363905286,0.03459278309216013,1.1181403518887325,18.76327587168963,4.587939415310386,0.03286803535825004,1.1336483646730675,18.567651782066463,higher_odds,higher_odds,TRUE,TRUE,TRUE,TRUE,TRUE,0.0016467673595685905,robust_significant_same_direction
a_H1CO3_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.8827529220109056,0.12900002073659209,0.7515255973692522,1.0368944504972282,0.9238833477997014,0.3464172020136457,0.7835441782367862,1.0893584102205387,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.04554047177602273,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,1.2009999317024538,0.35996264964588276,0.8114872396478011,1.7774781481164437,1.128971842359224,0.5481404820368129,0.7599339050819418,1.677221416647473,higher_odds,higher_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.06184714171137111,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,0.8747739066821018,0.4125404610351635,0.6352569065276473,1.2045982970805569,0.8437445182938326,0.30017987069460755,0.6118684448273403,1.163493260960336,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.036115715276547805,same_direction_not_statistically_prioritized
a_H1CO3_yesno,M1_family_context,a_age_wave1,a_age_wave1,0.8472617471345707,0.1578454558564013,0.6732834267880042,1.066196551996154,0.8644297958065653,0.23046831251199873,0.6813623040927487,1.096683610745311,lower_odds,lower_odds,TRUE,FALSE,FALSE,FALSE,FALSE,0.020060418560819943,same_direction_not_statistically_prioritized
